"","id","customer_id","activation_time"
"1",96667655,4549790,2020-02-01 19:16:01
"2",96633116,156531,2020-02-01 17:48:20
"3",96639296,156531,2020-02-01 18:07:21
"4",96648300,29985549,2020-02-01 18:31:45
"5",96630089,9259711,2020-02-01 17:38:14
"6",96732169,14460134,2020-02-01 21:46:35
"7",96538395,6281903,2020-02-01 11:04:46
"8",96523975,4304872,2020-02-01 08:19:21
"9",96704543,15721050,2020-02-01 20:30:39
"10",96697515,249248,2020-02-01 20:16:21
"11",96528786,22836810,2020-02-01 09:29:22
"12",96524755,23350016,2020-02-01 08:32:16
"13",96584515,30511291,2020-02-01 14:25:17
"14",96730903,27892684,2020-02-01 21:41:51
"15",96619009,12734,2020-02-01 16:56:41
"16",96664506,938885,2020-02-01 19:09:07
"17",96707503,27054315,2020-02-01 20:37:02
"18",96723249,31609833,2020-02-01 21:16:30
"19",96538223,1227915,2020-02-01 12:00:06
"20",96674748,24028234,2020-02-01 19:30:32
"21",96703656,18469083,2020-02-01 20:28:49
"22",96646240,2633295,2020-02-01 18:30:40
"23",96573075,17224184,2020-02-01 13:44:12
"24",96522559,1087316,2020-02-01 07:51:55
"25",96567757,712894,2020-02-01 13:21:25
"26",96718573,6267936,2020-02-01 21:03:19
"27",96574636,21026866,2020-02-01 13:46:18
"28",96487185,23256667,2020-02-01 00:41:54
"29",96725611,1270736,2020-02-01 21:23:36
"30",96718128,15721050,2020-02-01 21:02:06
"31",96647490,3225478,2020-02-01 18:29:45
"32",96583987,6720150,2020-02-01 14:22:53
"33",96696148,31012387,2020-02-01 20:13:35
"34",96578399,12995630,2020-02-01 14:13:12
"35",96618272,14223,2020-02-01 16:53:37
"36",96574570,14223,2020-02-01 13:46:04
"37",96582759,19524844,2020-02-01 14:18:04
"38",96584223,6562515,2020-02-01 14:23:57
"39",96548837,408482,2020-02-01 12:41:05
"40",96664458,25720661,2020-02-01 19:09:02
"41",96640115,22861415,2020-02-01 18:09:48
"42",96540266,6694531,2020-02-01 11:17:22
