"","customer_id","id","activation_time"
"1",454878,739897,2017-04-19 19:25:05
"2",174672,3182457,2017-12-14 20:43:46
"3",784057,3501560,2018-01-01 17:33:08
"4",142815,3585349,2018-01-06 09:17:25
"5",334507,6221300,2018-04-14 22:36:09
"6",454878,7500937,2018-05-20 13:52:54
"7",551640,8491887,2018-06-13 12:15:46
"8",1380571,8993416,2018-06-24 12:10:53
"9",36867,13981940,2018-09-24 15:33:14
"10",3164052,14126123,2018-09-26 19:15:06
"11",632112,21836866,2018-12-09 21:04:48
"12",38532,22612883,2018-12-16 12:31:16
"13",9793657,22872871,2018-12-18 14:35:30
"14",1380571,22972874,2018-12-19 12:11:56
"15",11283423,23496361,2018-12-23 13:34:38
"16",38532,23777834,2018-12-26 20:56:46
"17",1380571,24029705,2018-12-29 12:28:37
"18",936872,30082849,2019-02-15 21:07:42
"19",3106258,30230679,2019-02-16 20:21:20
"20",811036,31535814,2019-02-25 18:33:19
"21",6798171,32140502,2019-03-01 22:25:14
"22",9793657,35157706,2019-03-22 12:58:27
"23",16038760,36146180,2019-03-28 20:30:19
"24",6798171,37912269,2019-04-08 17:09:00
"25",11283423,37953939,2019-04-08 20:46:54
"26",9793657,38948008,2019-04-15 12:22:51
"27",1454345,40572427,2019-04-26 19:46:33
"28",13658415,41683569,2019-05-03 19:41:34
"29",2601996,43258823,2019-05-13 19:44:15
"30",12307756,44344026,2019-05-20 18:46:38
"31",284362,47399606,2019-06-09 11:23:11
"32",284362,48169448,2019-06-14 09:26:00
"33",284362,48450510,2019-06-15 18:44:56
"34",27305,50133655,2019-06-25 20:04:15
"35",438184,51516834,2019-07-03 21:58:54
"36",9793657,54173224,2019-07-19 11:51:09
"37",585808,55576661,2019-07-27 08:42:30
"38",4373588,58976114,2019-08-16 08:45:23
"39",632112,59070787,2019-08-16 19:11:15
"40",215542,63630799,2019-09-10 09:16:19
"41",9793657,69656441,2019-10-09 10:43:04
"42",2601996,71096633,2019-10-15 19:59:36
"43",394835,71179941,2019-10-16 11:41:10
"44",284362,72231999,2019-10-20 19:26:03
"45",6798171,72724234,2019-10-23 12:08:18
"46",2422549,74783309,2019-11-01 14:10:44
"47",36867,74896712,2019-11-01 19:59:46
"48",7216105,75454340,2019-11-03 21:11:41
"49",6798171,75521699,2019-11-04 09:42:49
"50",7216105,85840919,2019-12-16 14:11:02
"51",11626253,86881740,2019-12-20 17:53:27
"52",27305,88101421,2019-12-26 00:04:53
"53",1829840,88609377,2019-12-28 12:34:54
"54",1305073,88869748,2019-12-29 13:51:11
"55",192366,90124437,2020-01-04 20:15:21
"56",632112,94987974,2020-01-25 18:45:32
"57",13742737,96841660,2020-02-02 13:16:00
"58",24557580,99240339,2020-02-12 19:49:17
"59",1380571,100186484,2020-02-16 12:21:02
"60",284362,100289386,2020-02-16 18:26:27
"61",24557580,101174905,2020-02-20 19:38:29
"62",632112,102873600,2020-02-27 21:43:28
"63",6798171,103504012,2020-03-01 08:23:54
"64",16038760,105808045,2020-03-10 14:54:15
"65",811036,107784070,2020-03-19 20:11:02
"66",6798171,108811730,2020-03-25 13:30:15
"67",811036,113600873,2020-04-15 19:36:46
"68",215542,114757654,2020-04-20 12:27:58
"69",1077008,115102572,2020-04-21 19:57:38
"70",28375257,115171578,2020-04-22 10:02:57
"71",1326768,120299814,2020-05-11 11:46:09
"72",28375257,122783770,2020-05-20 10:02:06
"73",36867,124454012,2020-05-25 19:36:54
"74",6798171,126711686,2020-06-02 18:15:47
"75",6798171,129182014,2020-06-11 19:01:15
"76",2601996,131837801,2020-06-21 11:12:49
"77",632112,134037039,2020-06-29 11:21:37
"78",29343004,136876331,2020-07-09 19:21:21
"79",632112,137270971,2020-07-11 08:38:38
"80",632112,137661999,2020-07-12 15:04:19
"81",213264,140395332,2020-07-22 13:49:27
"82",16038760,140680878,2020-07-23 15:58:52
"83",1881091,141251627,2020-07-25 16:01:37
"84",1979383,142939335,2020-07-31 18:11:37
"85",632112,143828020,2020-08-03 18:32:33
"86",6798171,144111445,2020-08-04 21:18:51
"87",5062561,68990504,NA
"88",36867,2216498,2017-10-20 18:39:57
"89",284362,2542161,2017-11-10 13:38:31
"90",36867,5132533,2018-03-10 12:54:41
"91",2093262,5374116,2018-03-18 11:34:42
